Strategy Variant,Trades,Completed Trades,Open Trades,Win Rate (%),Average Exit Return (%),Median Exit Return (%),Average Max Drawdown 30D (%),Average Max Favorable Move 30D (%),Profit Factor,Target Hits,Stop Hits,Time Exits
BE_VOLUME_HC_MID_52W,97,97,0,81.44329896907216,0.5463917525773195,5.0,-8.815343749051976,16.043144334518843,1.2760416666666667,79,67,0
RSI_DIP_RECLAIM_BROAD,317,317,0,77.60252365930599,1.1012397373645084,5.0,-7.761732591804405,13.773994068723093,1.6427866274306093,246,210,4
RSI_DIP_RECLAIM_OPTIMAL,157,157,0,74.52229299363057,1.4302695530173681,5.0,-6.191867470009852,11.86151811272202,1.9539597087991718,117,87,8
BE_VOLUME_REVERSAL_HIGH_CONFIDENCE,360,360,0,74.44444444444444,0.22304852396961325,-4.0,-9.171695269543724,13.746158622418143,1.1056294859685736,268,256,3
BE_VOLUME_HC_COOL_RVOL,159,159,0,74.21383647798741,0.33394331571398944,-4.0,-8.8109641905122,15.039207899985117,1.1621871785355746,118,110,2
VOLUME_DRYUP_BREAKOUT_OPTIMIZED,325,325,0,74.15384615384616,1.0235066477119374,5.0,-6.636411660772843,11.935497773711903,1.5853438070774366,241,198,4
BE_VOLUME_HC_BALANCED,76,76,0,73.68421052631578,0.8552631578947368,5.0,-8.151165148813217,12.242235909783842,1.4642857142857142,56,49,0
EMA21_BOUNCE_BROAD,568,568,0,72.7112676056338,0.38818893384290526,-4.0,-7.576984439205046,12.145660513828712,1.1899234541687569,413,380,2
TIGHT_BASE_BREAKOUT_OPTIMIZED,161,161,0,72.04968944099379,0.7667025698480305,5.0,-6.472115991684543,11.77729514647267,1.4148257579425465,116,93,3
BE_VOLUME_HC_EARLY_SURGE,103,103,0,66.99029126213593,0.5057959922186827,0.4779039759741244,-7.653909579724183,12.90920758074281,1.256154746590761,69,65,2
