Strategy Variant,Symbol,Entry Date,Recommendation,Signal Pattern,Entry Close,21 EMA,50 DMA,200 DMA,RSI(14),Volume,Average Volume(20),Relative Volume (RVOL),Distance from 52-week High (%),Distance from 21 EMA (%),Avg Traded Value,Day 1 Close,Day 2 Close,Day 3 Close,Day 4 Close,Day 5 Close,Day 6 Close,Day 7 Close,Day 8 Close,Day 9 Close,Day 10 Close,Day 11 Close,Day 12 Close,Day 13 Close,Day 14 Close,Day 15 Close,Day 16 Close,Day 17 Close,Day 18 Close,Day 19 Close,Day 20 Close,Day 21 Close,Day 22 Close,Day 23 Close,Day 24 Close,Day 25 Close,Day 26 Close,Day 27 Close,Day 28 Close,Day 29 Close,Day 30 Close,Max Favorable Move 30D (%),Max Drawdown 30D (%),30D Close Return (%),Target Hit,Stop Hit,Exit Reason,Exit Date,Exit Return (%),Days Held
RSI_DIP_RECLAIM_BROAD,SHREECEM,2020-01-02,BUY,RSI Dip Reclaim,21232.150390625,20439.64303811679,20292.99703125,19809.99453125,66.16573436855981,31788.0,16102.25,1.9741340495893431,5.21319282512853,3.877305249559923,341885393.6274414,21122.25,21064.400390625,21963.150390625,22441.30078125,22814.55078125,23345.400390625,23829.19921875,23560.0,23728.55078125,23290.849609375,23325.900390625,23133.099609375,22953.5,23016.69921875,23079.05078125,23134.650390625,23598.44921875,23442.0,23506.19921875,23485.30078125,23006.900390625,23267.5,24485.400390625,24893.44921875,25012.69921875,24918.150390625,24961.650390625,24813.44921875,24689.94921875,24616.099609375,19.41795594663569,-3.0178290385646545,15.9378544164993,True,False,Target,2020-01-08,5.0,30
VOLUME_DRYUP_BREAKOUT_OPTIMIZED,SHREECEM,2020-01-02,BUY,Volume Dry-Up Breakout,21232.150390625,20439.64303811679,20292.99703125,19809.99453125,66.16573436855981,31788.0,16102.25,1.9741340495893431,5.21319282512853,3.877305249559923,341885393.6274414,21122.25,21064.400390625,21963.150390625,22441.30078125,22814.55078125,23345.400390625,23829.19921875,23560.0,23728.55078125,23290.849609375,23325.900390625,23133.099609375,22953.5,23016.69921875,23079.05078125,23134.650390625,23598.44921875,23442.0,23506.19921875,23485.30078125,23006.900390625,23267.5,24485.400390625,24893.44921875,25012.69921875,24918.150390625,24961.650390625,24813.44921875,24689.94921875,24616.099609375,19.41795594663569,-3.0178290385646545,15.9378544164993,True,False,Target,2020-01-08,5.0,30
VOLUME_DRYUP_BREAKOUT_OPTIMIZED,COFORGE,2020-01-03,BUY,Volume Dry-Up Breakout,326.19000244140625,312.2855506805929,305.9073992919922,276.50329971313477,65.33834752968322,5907070.0,3879040.5,1.5228173049495102,0.7515369053675596,4.452480023654659,1265304230.1653137,329.54998779296875,331.1499938964844,345.30999755859375,350.7300109863281,345.1000061035156,354.95001220703125,361.3999938964844,360.9100036621094,356.5899963378906,359.82000732421875,356.239990234375,360.3299865722656,374.5299987792969,395.80999755859375,386.4100036621094,389.7699890136719,401.82000732421875,388.2099914550781,369.79998779296875,388.489990234375,377.0799865722656,384.5199890136719,387.0899963378906,379.8999938964844,377.1499938964844,371.5899963378906,366.0799865722656,366.7300109863281,364.0400085449219,367.1300048828125,26.276093937144584,-0.6008741654889315,12.550967882211635,True,False,Target,2020-01-08,5.0,30
VOLUME_DRYUP_BREAKOUT_OPTIMIZED,TORNTPHARM,2020-01-03,BUY,Volume Dry-Up Breakout,950.0499877929688,925.702811316699,911.4419970703125,854.5847479248047,61.20258408707229,1008842.0,342176.4,2.948309702247145,3.1549451791061416,2.6301288252153903,325084684.643042,943.0999755859375,936.375,933.1749877929688,939.4000244140625,949.5250244140625,949.7000122070312,942.6500244140625,949.0999755859375,962.2000122070312,1003.1749877929688,1013.8499755859375,1010.0750122070312,1000.4749755859375,1010.25,1018.4749755859375,1013.5750122070312,958.2000122070312,968.75,968.1500244140625,965.5499877929688,953.0499877929688,964.375,1000.625,1000.7000122070312,1010.4000244140625,1004.5999755859375,1006.875,1005.2000122070312,1040.0999755859375,1056.25,11.573076534893985,-2.44723965041159,11.178360462246955,True,False,Target,2020-01-17,5.0,30
EMA21_BOUNCE_BROAD,CGCL,2020-01-07,BUY,21 EMA Bounce,193.10952758789062,187.5908420563812,186.7642919921875,169.95789817810058,58.39613584598899,386057.0,356693.05,1.0823227422008923,10.832055357907569,2.9418736389331603,68880826.37938385,185.21109008789062,188.75828552246094,190.8393096923828,187.57589721679688,188.2853240966797,188.00155639648438,186.10971069335938,186.10971069335938,185.87322998046875,186.2989044189453,185.87322998046875,182.56251525878906,179.48828125,182.70440673828125,181.38011169433594,179.63015747070312,183.7449188232422,183.41384887695312,187.4340057373047,193.62977600097656,196.98779296875,198.9269256591797,200.44039916992188,197.9810028076172,206.39968872070312,209.852294921875,207.96046447753906,208.6226043701172,204.27137756347656,202.23764038085938,12.662257876457476,-11.290717661852522,4.726909597360099,True,True,Stop,2020-01-08,-4.0,30
EMA21_BOUNCE_BROAD,BHARTIARTL,2020-01-08,BUY,21 EMA Bounce,450.39385986328125,439.6750528542148,418.12765014648437,357.24261657714845,59.02664008233502,14118818.0,10020835.0,1.4089462604663183,5.50864798638777,2.437892925578501,4513322554.703064,451.6208190917969,448.57794189453125,460.2586364746094,460.7003479003906,459.2279968261719,465.16650390625,490.8345947265625,499.3251647949219,502.3189697265625,505.0182800292969,513.9996337890625,514.588623046875,504.9201354980469,482.1967468261719,481.2151794433594,480.7734680175781,487.3009338378906,500.6502990722656,509.3371887207031,523.5208740234375,536.7230224609375,529.5084838867188,528.7722778320312,524.453369140625,529.6557006835938,529.999267578125,554.587646484375,554.4403686523438,538.1463012695312,533.3856811523438,23.9729685376013,-1.0134020340541245,18.426499267608794,True,False,Target,2020-01-17,5.0,30
RSI_DIP_RECLAIM_BROAD,VOLTAS,2020-01-09,BUY,RSI Dip Reclaim,684.2999877929688,664.7336799350029,682.1890002441406,634.7462509155273,58.432873773899274,2697590.0,1270414.35,2.1233938360346762,5.66584439451764,2.943480742525191,869344524.1970124,687.5,693.4500122070312,693.3499755859375,695.2999877929688,701.0999755859375,705.0999755859375,700.25,702.5,695.4500122070312,713.2999877929688,723.4500122070312,710.5999755859375,716.4000244140625,707.75,698.75,694.2000122070312,690.0999755859375,700.1500244140625,694.3499755859375,683.25,701.4500122070312,682.0,683.25,682.25,685.5999755859375,687.9000244140625,694.8499755859375,697.0999755859375,733.1500244140625,725.0,8.285841475739662,-2.5208242448805795,5.947685654401154,True,False,Target,2020-01-24,5.0,30
RSI_DIP_RECLAIM_OPTIMAL,VOLTAS,2020-01-09,BUY,RSI Dip Reclaim,684.2999877929688,664.7336799350029,682.1890002441406,634.7462509155273,58.432873773899274,2697590.0,1270414.35,2.1233938360346762,5.66584439451764,2.943480742525191,869344524.1970124,687.5,693.4500122070312,693.3499755859375,695.2999877929688,701.0999755859375,705.0999755859375,700.25,702.5,695.4500122070312,713.2999877929688,723.4500122070312,710.5999755859375,716.4000244140625,707.75,698.75,694.2000122070312,690.0999755859375,700.1500244140625,694.3499755859375,683.25,701.4500122070312,682.0,683.25,682.25,685.5999755859375,687.9000244140625,694.8499755859375,697.0999755859375,733.1500244140625,725.0,8.285841475739662,-2.5208242448805795,5.947685654401154,True,False,Target,2020-01-24,5.0,30
EMA21_BOUNCE_BROAD,SUNDARMFIN,2020-01-10,BUY,21 EMA Bounce,1675.4000244140625,1635.0544161239798,1627.3769970703124,1570.7062475585938,58.04161337191016,40500.0,39422.7,1.027326895418122,3.3181371798665773,2.4675391774253637,66048792.54246826,1650.5,1668.0,1675.800048828125,1669.0,1677.050048828125,1678.550048828125,1662.199951171875,1659.5,1654.4000244140625,1649.949951171875,1631.6500244140625,1656.5999755859375,1648.0,1662.1500244140625,1641.8499755859375,1650.8499755859375,1652.75,1669.199951171875,1674.1500244140625,1690.699951171875,1699.949951171875,1665.5999755859375,1655.4000244140625,1643.5999755859375,1639.800048828125,1640.949951171875,1626.0,1638.4000244140625,1645.550048828125,1640.0,6.538732551118673,-4.2646575266211855,-2.1129296823570805,True,True,Target,2020-02-05,5.0,30
TIGHT_BASE_BREAKOUT_OPTIMIZED,TATACHEM,2020-01-10,BUY,10D Tight Base Breakout,304.08685302734375,293.8862900083183,289.12544616699216,269.24527687072754,64.81160322092963,3533748.0,2069840.45,1.7072562283725783,4.314653007644789,3.470921701974155,629411268.709201,310.6782531738281,320.35595703125,321.8550109863281,325.3381042480469,329.50457763671875,329.0416259765625,330.4304504394531,329.9454650878906,334.3985290527344,333.0538024902344,330.5186462402344,330.21002197265625,334.0017395019531,334.1560363769531,331.2020263671875,326.9473876953125,324.43426513671875,330.8713684082031,332.0617980957031,336.7573547363281,335.7212219238281,334.31036376953125,333.60491943359375,335.41259765625,338.0138854980469,331.8633728027344,330.4966125488281,337.17620849609375,336.6911926269531,330.58477783203125,13.063653729236663,0.34072577772006074,8.71393305593017,True,False,Target,2020-01-14,5.0,30
